"Id","ScientificName","CommonName","MaxHeight","MaxHeightInputFormat","MaxHeightTreeId","MaxGirth","MaxGirthInputFormat","MaxGirthTreeId","MaxCrownSpread","MaxCrownSpreadInputFormat","MaxCrownSpreadTreeId","Number"
"560070001","Crataegus mollis","Downy Hawthorn","3.9000000000000000e+001","2","239996","8.2500000000000000e+000","2","239996","4.0000000000000000e+001","2","239996","3"
"56033463","Ulmus americana","American Elm","1.3760000610351562e+002","2","228432","2.3250000000000000e+001","2","313103","1.4060000610351562e+002","2","313152","168"
"563672196","Salix bebbiana","Bebb Willow","2.5899999618530273e+001","2","233050","8.3333331346511841e-001","2","233050","0.0000000000000000e+000","0",NULL,"1"
"567367768","Quercus phellos","Willow Oak","1.6110000610351562e+002","2","252611","2.1666666030883789e+001","2","76107","1.2850000000000000e+002","2","242645","93"
"56758610","Quercus durifolia","Durango Emory Oak","3.4900001525878906e+001","2","274853","3.5999999046325684e+000","2","274853","0.0000000000000000e+000","0",NULL,"1"
"573240008","Bumelia lycoides","Buckthorn Bully","2.3500000000000000e+001","2","142267","1.3999999761581421e+000","2","142267","1.8000000000000000e+001","2","142267","1"
"574034771","Quercus douglasii","Blue Oak","1.2860000610351562e+002","2","9623","1.0991665840148926e+001","2","234265","0.0000000000000000e+000","0",NULL,"2"
"575854231","Fraxinus profunda","Pumpkin Ash","1.2640000152587891e+002","2","283673","1.6500000000000000e+001","2","171792","7.4000000000000000e+001","2","171792","19"
"576362917","Byrsonima crossifolia","Nance","2.4500000000000000e+001","2","213142","2.3833334445953369e+000","2","213142","0.0000000000000000e+000","0",NULL,"1"
"579959524","Picea rubens","Red Spruce","1.6030000305175781e+002","2","323603","1.2666666984558105e+001","2","229195","3.6000000000000000e+001","2","306135","104"
"582560423","Forestiera acuminata","Eastern Swampprivet","5.6000000000000000e+001","2","241819","3.5000000000000000e+000","2","241822","0.0000000000000000e+000","0",NULL,"11"
"584755722","Alnus glutinosa","European Alder","1.0369999694824219e+002","2","283468","1.2666666984558105e+001","2","283468","2.1000000000000000e+001","2","314957","17"
"591598422","Pinus thunbergii","Japanese Black Pine","8.0099998474121094e+001","2","226008","6.2600002288818359e+000","2","226008","0.0000000000000000e+000","0",NULL,"1"
"5937815","Acer saccharum","Sugar Maple","1.4150000000000000e+002","2","229216","1.4508334159851074e+001","2","262911","8.5000000000000000e+001","2","257951","340"
"59441331","Juniperus monosperma","Oneseed Juniper","3.5200000762939453e+001","2","126249","8.5000000000000000e+000","2","126243","0.0000000000000000e+000","0",NULL,"11"
"594839786","Larix spp.","Larch","5.0900001525878906e+001","2","227878","5.5000000000000000e+000","2","227878","0.0000000000000000e+000","0",NULL,"1"
"595030202","Populus tremuloides","Quaking Aspen","1.1500000000000000e+002","2","242467","8.5833330154418945e+000","2","149593","3.6000000000000000e+001","2","284503","83"
"600951281","Crateagus spp.","Hawthorn","1.9000000000000000e+001","2","252327","2.5000000000000000e+000","2","252328","0.0000000000000000e+000","0",NULL,"3"
